year_BP,d18O,d13C,REF
5232,-8.4,-10.12,"Wang et al 2017, Nature"
5242,-8.27,-9.99,"Wang et al 2017, Nature"
5252,-8.38,-9.74,"Wang et al 2017, Nature"
5263,-7.85,-9.61,"Wang et al 2017, Nature"
5273,-8.19,-9.74,"Wang et al 2017, Nature"
5284,-8.28,-9.61,"Wang et al 2017, Nature"
5294,-7.9,-9.37,"Wang et al 2017, Nature"
5304,-7.61,-9.74,"Wang et al 2017, Nature"
5306,-7.43,-9.73,"Wang et al 2017, Nature"
5308,-7.62,-9.94,"Wang et al 2017, Nature"
5309,-7.74,-9.87,"Wang et al 2017, Nature"
5311,-7.69,-9.85,"Wang et al 2017, Nature"
5313,-7.76,-9.52,"Wang et al 2017, Nature"
5314,-8.04,-9.86,"Wang et al 2017, Nature"
5316,-8.23,-9.29,"Wang et al 2017, Nature"
5317,-7.84,-9.68,"Wang et al 2017, Nature"
5319,-7.91,-9.5,"Wang et al 2017, Nature"
5321,-8.1,-9.38,"Wang et al 2017, Nature"
5322,-8.1,-9.27,"Wang et al 2017, Nature"
5324,-7.91,-9.7,"Wang et al 2017, Nature"
5326,-8.04,-9.59,"Wang et al 2017, Nature"
5327,-8.18,-9.63,"Wang et al 2017, Nature"
5329,-8.6,-9.66,"Wang et al 2017, Nature"
5337,-8.59,-9.81,"Wang et al 2017, Nature"
5345,-8.43,-9.67,"Wang et al 2017, Nature"
5353,-8.14,-9.53,"Wang et al 2017, Nature"
5361,-7.97,-8.94,"Wang et al 2017, Nature"
5369,-7.52,-9.04,"Wang et al 2017, Nature"
5377,-7.69,-8.84,"Wang et al 2017, Nature"
5385,-8,-9.46,"Wang et al 2017, Nature"
5393,-8.08,-8.88,"Wang et al 2017, Nature"
5401,-7.95,-9.17,"Wang et al 2017, Nature"
5409,-7.93,-8.48,"Wang et al 2017, Nature"
5418,-8.12,-9.26,"Wang et al 2017, Nature"
5426,-8.18,-8.77,"Wang et al 2017, Nature"
5434,-7.85,-9.39,"Wang et al 2017, Nature"
5442,-7.33,-7.72,"Wang et al 2017, Nature"
5450,-7.72,-8.08,"Wang et al 2017, Nature"
5458,-7.9,-8.83,"Wang et al 2017, Nature"
5466,-7.42,-7.13,"Wang et al 2017, Nature"
5474,-8.52,-9.38,"Wang et al 2017, Nature"
5482,-8.42,-8.42,"Wang et al 2017, Nature"
5490,-7.47,-7.51,"Wang et al 2017, Nature"
5498,-8.18,-9.02,"Wang et al 2017, Nature"
5506,-8.55,-9.47,"Wang et al 2017, Nature"
5514,-8.18,-8.65,"Wang et al 2017, Nature"
5523,-8.13,-9.24,"Wang et al 2017, Nature"
5531,-7.73,-7.97,"Wang et al 2017, Nature"
5539,-7.52,-8.08,"Wang et al 2017, Nature"
5547,-8.21,-9.33,"Wang et al 2017, Nature"
5555,-8.14,-9.34,"Wang et al 2017, Nature"
5607,-7.84,-9.69,"Wang et al 2017, Nature"
5658,-7.57,-9.39,"Wang et al 2017, Nature"
5710,-7.84,-9.22,"Wang et al 2017, Nature"
5762,-7.94,-9.57,"Wang et al 2017, Nature"
5814,-8.32,-9.89,"Wang et al 2017, Nature"
5866,-8.09,-9.86,"Wang et al 2017, Nature"
5917,-8.13,-10.35,"Wang et al 2017, Nature"
5969,-7.85,-10.61,"Wang et al 2017, Nature"
6021,-7.96,-9.1,"Wang et al 2017, Nature"
6073,-7.7,-8.78,"Wang et al 2017, Nature"
6125,-8.24,-8.98,"Wang et al 2017, Nature"
6177,-8.07,-9.12,"Wang et al 2017, Nature"
6228,-7.82,-8.75,"Wang et al 2017, Nature"
6280,-7.99,-8.24,"Wang et al 2017, Nature"
7642,-7.1,-7.25,"Wang et al 2017, Nature"
7749,-7.17,-6.68,"Wang et al 2017, Nature"
7855,-7.2,-5.65,"Wang et al 2017, Nature"
7961,-6.93,-5.61,"Wang et al 2017, Nature"
8067,-7.08,-5.61,"Wang et al 2017, Nature"
8174,-7.22,-5.69,"Wang et al 2017, Nature"
8280,-7.05,-5.62,"Wang et al 2017, Nature"
8386,-6.88,-5.54,"Wang et al 2017, Nature"
8492,-7,-6.08,"Wang et al 2017, Nature"
8502,,,"Wang et al 2017, Nature"
8513,-7.04,-6.22,"Wang et al 2017, Nature"
8523,,,"Wang et al 2017, Nature"
8533,-7.15,-5.98,"Wang et al 2017, Nature"
8543,-7.11,-6.53,"Wang et al 2017, Nature"
8553,-7.23,-6.54,"Wang et al 2017, Nature"
8563,-7.15,-6.62,"Wang et al 2017, Nature"
8573,-7.1,-6.74,"Wang et al 2017, Nature"
8583,-7.08,-6.51,"Wang et al 2017, Nature"
8594,-7.3,-7.1,"Wang et al 2017, Nature"
8604,-7.47,-7.4,"Wang et al 2017, Nature"
8614,-7.29,-7.58,"Wang et al 2017, Nature"
8624,-6.8,-6.72,"Wang et al 2017, Nature"
8634,-6.92,-6.88,"Wang et al 2017, Nature"
8644,-7.01,-6.98,"Wang et al 2017, Nature"
8654,-7.03,-7.07,"Wang et al 2017, Nature"
8664,-6.9,-7.31,"Wang et al 2017, Nature"
8675,-7.26,-6.97,"Wang et al 2017, Nature"
8685,-7.48,-7.04,"Wang et al 2017, Nature"
8695,-7.41,-7.41,"Wang et al 2017, Nature"
8705,-7.04,-7.19,"Wang et al 2017, Nature"
8715,-7.39,-7.54,"Wang et al 2017, Nature"
8725,-7.55,-7.24,"Wang et al 2017, Nature"
8735,-7.28,-6.77,"Wang et al 2017, Nature"
8745,-7.17,-6.91,"Wang et al 2017, Nature"
8756,-7.04,-7.35,"Wang et al 2017, Nature"
8766,-7.18,-7.53,"Wang et al 2017, Nature"
8776,-7.11,-7.01,"Wang et al 2017, Nature"
8786,-7.45,-7.36,"Wang et al 2017, Nature"
8796,-7.39,-7.09,"Wang et al 2017, Nature"
8806,-6.7,-7.51,"Wang et al 2017, Nature"
8816,-7.4,-7.35,"Wang et al 2017, Nature"
8826,-7.47,-7.18,"Wang et al 2017, Nature"
8837,-7.6,-7.26,"Wang et al 2017, Nature"
8847,-7.56,-7.17,"Wang et al 2017, Nature"
8857,-7.54,-7.33,"Wang et al 2017, Nature"
8867,-7.36,-7.35,"Wang et al 2017, Nature"
8877,-7.28,-7.2,"Wang et al 2017, Nature"
8887,-7.38,-7.28,"Wang et al 2017, Nature"
8897,-6.91,-7.1,"Wang et al 2017, Nature"
8907,-7.06,-7.29,"Wang et al 2017, Nature"
8918,-7.42,-7.23,"Wang et al 2017, Nature"
8928,-7.53,-7.35,"Wang et al 2017, Nature"
8938,-7.19,-7.42,"Wang et al 2017, Nature"
8948,-7.22,-7.23,"Wang et al 2017, Nature"
8958,-7.21,-8.12,"Wang et al 2017, Nature"
8968,-7.19,-8.14,"Wang et al 2017, Nature"
8978,-7.1,-6.85,"Wang et al 2017, Nature"
8988,-6.78,-6.35,"Wang et al 2017, Nature"
8995,-6.93,-7.23,"Wang et al 2017, Nature"
9001,-7.27,-7.68,"Wang et al 2017, Nature"
9007,-7.54,-8.14,"Wang et al 2017, Nature"
9013,-7.26,-7.8,"Wang et al 2017, Nature"
9019,-7.09,-7.73,"Wang et al 2017, Nature"
9026,-7.06,-7.88,"Wang et al 2017, Nature"
9032,-7.12,-7.59,"Wang et al 2017, Nature"
9038,-6.95,-7.8,"Wang et al 2017, Nature"
9044,-6.97,-7.74,"Wang et al 2017, Nature"
9050,-7.14,-8.14,"Wang et al 2017, Nature"
9057,-7.22,-8.33,"Wang et al 2017, Nature"
9063,-7.59,-8.41,"Wang et al 2017, Nature"
9069,-7.03,-8.36,"Wang et al 2017, Nature"
9075,-7.07,-8.08,"Wang et al 2017, Nature"
9081,-6.86,-8.94,"Wang et al 2017, Nature"
9088,-6.84,-8.79,"Wang et al 2017, Nature"
9094,-7.17,-9.39,"Wang et al 2017, Nature"
9100,-6.99,-8.76,"Wang et al 2017, Nature"
9106,-7.67,-8.8,"Wang et al 2017, Nature"
9113,-7.18,-8.63,"Wang et al 2017, Nature"
9119,-6.95,-8.6,"Wang et al 2017, Nature"
9125,-6.8,-8.55,"Wang et al 2017, Nature"
9131,-7.03,-8.26,"Wang et al 2017, Nature"
9137,-6.92,-8.26,"Wang et al 2017, Nature"
9144,-6.88,-8.16,"Wang et al 2017, Nature"
9150,-6.74,-7.98,"Wang et al 2017, Nature"
9156,-7.02,-8.54,"Wang et al 2017, Nature"
9162,-7.1,-8.19,"Wang et al 2017, Nature"
9168,-7.16,-8.58,"Wang et al 2017, Nature"
9175,-7.06,-8.2,"Wang et al 2017, Nature"
9181,-7.09,-8.03,"Wang et al 2017, Nature"
9187,-7.07,-8.43,"Wang et al 2017, Nature"
9193,-7,-8.57,"Wang et al 2017, Nature"
9199,-7.58,-8.85,"Wang et al 2017, Nature"
9206,-7.38,-8.28,"Wang et al 2017, Nature"
9212,-6.93,-8.46,"Wang et al 2017, Nature"
9218,-7.2,-8.23,"Wang et al 2017, Nature"
9224,-7.44,-8.54,"Wang et al 2017, Nature"
9230,-7.01,-8.62,"Wang et al 2017, Nature"
9237,-7.06,-8.33,"Wang et al 2017, Nature"
9243,-7.16,-8.38,"Wang et al 2017, Nature"
9249,-7.05,-8.24,"Wang et al 2017, Nature"
9255,-7.19,-8.58,"Wang et al 2017, Nature"
9261,-7.1,-8.51,"Wang et al 2017, Nature"
9268,-7.18,-8.17,"Wang et al 2017, Nature"
9274,-7.14,-8.6,"Wang et al 2017, Nature"
9280,-6.94,-8.68,"Wang et al 2017, Nature"
9286,-6.82,-8.41,"Wang et al 2017, Nature"
9292,-7.13,-8.47,"Wang et al 2017, Nature"
9299,-7.19,-8.46,"Wang et al 2017, Nature"
9305,-6.84,-8.36,"Wang et al 2017, Nature"
9311,-6.94,-8.34,"Wang et al 2017, Nature"
9317,-7.06,-8.28,"Wang et al 2017, Nature"
9323,-7,-8.23,"Wang et al 2017, Nature"
9330,-7.02,-8.37,"Wang et al 2017, Nature"
9336,-6.62,-8.25,"Wang et al 2017, Nature"
9342,-6.78,-8.26,"Wang et al 2017, Nature"
9348,-6.73,-8.11,"Wang et al 2017, Nature"
9354,-6.85,-8.36,"Wang et al 2017, Nature"
9361,-7.04,-8.22,"Wang et al 2017, Nature"
9367,-7.12,-7.86,"Wang et al 2017, Nature"
9373,-7.12,-8.11,"Wang et al 2017, Nature"
9379,-7.3,-8.26,"Wang et al 2017, Nature"
9385,-7.31,-8.33,"Wang et al 2017, Nature"
9392,-6.84,-8.25,"Wang et al 2017, Nature"
9398,-7,-8.34,"Wang et al 2017, Nature"
9404,-7.32,-8.35,"Wang et al 2017, Nature"
9410,-7.02,-8.38,"Wang et al 2017, Nature"
9416,-6.92,-8.32,"Wang et al 2017, Nature"
9423,-7.01,-8.46,"Wang et al 2017, Nature"
9429,-6.9,-8.51,"Wang et al 2017, Nature"
9435,-6.87,-8.4,"Wang et al 2017, Nature"
9441,-6.88,-8.51,"Wang et al 2017, Nature"
9448,-6.96,-8.61,"Wang et al 2017, Nature"
9454,-7.21,-8.44,"Wang et al 2017, Nature"
9460,-6.87,-8.63,"Wang et al 2017, Nature"
9466,-6.8,-8.46,"Wang et al 2017, Nature"
9472,-6.71,-8.72,"Wang et al 2017, Nature"
9479,-6.79,-8.55,"Wang et al 2017, Nature"
9485,-7.2,-8.85,"Wang et al 2017, Nature"
9491,-6.92,-8.78,"Wang et al 2017, Nature"
9497,-7.16,-8.94,"Wang et al 2017, Nature"
9503,-7.24,-8.74,"Wang et al 2017, Nature"
9510,-7.1,-8.69,"Wang et al 2017, Nature"
9516,-6.92,-8.27,"Wang et al 2017, Nature"
9522,-6.98,-8.46,"Wang et al 2017, Nature"
9528,-7.02,-8.49,"Wang et al 2017, Nature"
9534,-6.88,-8.52,"Wang et al 2017, Nature"
9541,-6.82,-8.4,"Wang et al 2017, Nature"
9547,-6.63,-8.44,"Wang et al 2017, Nature"
9553,-6.84,-8.62,"Wang et al 2017, Nature"
9559,-7.26,-8.76,"Wang et al 2017, Nature"
9565,-7.21,-8.64,"Wang et al 2017, Nature"
9572,-7,-8.69,"Wang et al 2017, Nature"
9578,-6.61,-8.76,"Wang et al 2017, Nature"
9584,-7,-8.72,"Wang et al 2017, Nature"
9590,-6.91,-8.44,"Wang et al 2017, Nature"
9596,-7.57,-8.92,"Wang et al 2017, Nature"
9603,-7.37,-8.69,"Wang et al 2017, Nature"
9609,-6.91,-8.23,"Wang et al 2017, Nature"
9615,-6.88,-8.01,"Wang et al 2017, Nature"
9621,-6.65,-7.78,"Wang et al 2017, Nature"
9627,-6.89,-8.26,"Wang et al 2017, Nature"
9634,-7.14,-8.53,"Wang et al 2017, Nature"
9640,-7.02,-8.22,"Wang et al 2017, Nature"
9646,-6.74,-8.38,"Wang et al 2017, Nature"
9652,-6.92,-8.49,"Wang et al 2017, Nature"
9658,-6.84,-8.39,"Wang et al 2017, Nature"
9665,-6.89,-8.67,"Wang et al 2017, Nature"
9671,-6.98,-8.67,"Wang et al 2017, Nature"
9677,-6.64,-8.39,"Wang et al 2017, Nature"
9683,-6.95,-8.59,"Wang et al 2017, Nature"
9689,-6.88,-8.76,"Wang et al 2017, Nature"
9696,-6.82,-8.83,"Wang et al 2017, Nature"
9702,-6.7,-8.85,"Wang et al 2017, Nature"
9708,-6.5,-8.73,"Wang et al 2017, Nature"
9714,-6.66,-8.9,"Wang et al 2017, Nature"
9720,-6.59,-8.72,"Wang et al 2017, Nature"
9727,-6.51,-8.7,"Wang et al 2017, Nature"
9733,-6.66,-8.84,"Wang et al 2017, Nature"
9739,-6.79,-8.74,"Wang et al 2017, Nature"
9745,-6.84,-9.15,"Wang et al 2017, Nature"
9751,-7,-9.18,"Wang et al 2017, Nature"
9758,-7.03,-9.2,"Wang et al 2017, Nature"
9764,-7.01,-9.04,"Wang et al 2017, Nature"
9770,-6.7,-9.33,"Wang et al 2017, Nature"
9776,-6.55,-9.38,"Wang et al 2017, Nature"
9782,-6.8,-9.48,"Wang et al 2017, Nature"
9789,-6.91,-9.49,"Wang et al 2017, Nature"
9795,-6.84,-9.6,"Wang et al 2017, Nature"
9801,-6.78,-9.59,"Wang et al 2017, Nature"
9807,-6.9,-9.7,"Wang et al 2017, Nature"
9814,-6.79,-9.84,"Wang et al 2017, Nature"
9820,-6.87,-9.67,"Wang et al 2017, Nature"
9826,-6.61,-9.62,"Wang et al 2017, Nature"
9832,-6.74,-9.81,"Wang et al 2017, Nature"
9838,-6.39,-9.53,"Wang et al 2017, Nature"
9845,-6.62,-9.71,"Wang et al 2017, Nature"
9851,-6.58,-9.81,"Wang et al 2017, Nature"
9857,-6.57,-9.66,"Wang et al 2017, Nature"
9863,-6.78,-9.62,"Wang et al 2017, Nature"
9869,-6.61,-9.26,"Wang et al 2017, Nature"
9876,-6.43,-8.96,"Wang et al 2017, Nature"
9882,-7.33,-9.19,"Wang et al 2017, Nature"
9888,-7.24,-9.18,"Wang et al 2017, Nature"
9904,-7.01,-9.34,"Wang et al 2017, Nature"
9920,-7.22,-9.36,"Wang et al 2017, Nature"
9936,-7.01,-9.55,"Wang et al 2017, Nature"
9952,-6.76,-9.43,"Wang et al 2017, Nature"
9968,-6.83,-9.44,"Wang et al 2017, Nature"
9984,-6.85,-9.83,"Wang et al 2017, Nature"
10000,-6.93,-9.86,"Wang et al 2017, Nature"
10016,-6.97,-9.91,"Wang et al 2017, Nature"
10032,-7.05,-10.02,"Wang et al 2017, Nature"
10048,-6.75,-9.81,"Wang et al 2017, Nature"
10064,-6.81,-10.03,"Wang et al 2017, Nature"
10080,-6.88,-10.04,"Wang et al 2017, Nature"
10096,-6.55,-9.89,"Wang et al 2017, Nature"
10112,-6.69,-10.16,"Wang et al 2017, Nature"
10128,-6.53,-10.04,"Wang et al 2017, Nature"
10144,-6.54,-10.02,"Wang et al 2017, Nature"
10160,-6.57,-10.32,"Wang et al 2017, Nature"
10176,-6.3,-10.48,"Wang et al 2017, Nature"
10192,-6.57,-10.33,"Wang et al 2017, Nature"
10208,-6.42,-10.27,"Wang et al 2017, Nature"
10224,-6.34,-10.39,"Wang et al 2017, Nature"
10240,-6.65,-10.5,"Wang et al 2017, Nature"
10256,-6.91,-9.9,"Wang et al 2017, Nature"
10272,-6.68,-9.53,"Wang et al 2017, Nature"
10288,-6.31,-9.09,"Wang et al 2017, Nature"
10304,-6.31,-9.03,"Wang et al 2017, Nature"
10320,-6.57,-8.78,"Wang et al 2017, Nature"
10336,-6.13,-8.44,"Wang et al 2017, Nature"
10352,-6.48,-8.52,"Wang et al 2017, Nature"
10368,-6.45,-7.84,"Wang et al 2017, Nature"
10384,-6.41,-7.93,"Wang et al 2017, Nature"
10400,-6.76,-7.51,"Wang et al 2017, Nature"
10416,-6.58,-7.17,"Wang et al 2017, Nature"
10432,-6.62,-7.38,"Wang et al 2017, Nature"
10448,-6.16,-6.98,"Wang et al 2017, Nature"
10464,-5.98,-6.38,"Wang et al 2017, Nature"
10480,-6.64,-7.3,"Wang et al 2017, Nature"
10496,-6.22,-7.45,"Wang et al 2017, Nature"
10512,-6.57,-7.4,"Wang et al 2017, Nature"
10528,-6.05,-7.32,"Wang et al 2017, Nature"
10544,-6.67,-7.35,"Wang et al 2017, Nature"
10560,-6.28,-7.37,"Wang et al 2017, Nature"
10576,-6.26,-7.36,"Wang et al 2017, Nature"
10592,-6.3,-7.3,"Wang et al 2017, Nature"
10608,-6.27,-7.82,"Wang et al 2017, Nature"
10624,-6.48,-7.78,"Wang et al 2017, Nature"
10640,,,"Wang et al 2017, Nature"
10656,-6.15,-7.98,"Wang et al 2017, Nature"
10672,-6.38,-8.45,"Wang et al 2017, Nature"
10688,-6.24,-7.67,"Wang et al 2017, Nature"
10704,-6.28,-8.39,"Wang et al 2017, Nature"
10720,-6.5,-8.26,"Wang et al 2017, Nature"
10736,-6.07,-7.94,"Wang et al 2017, Nature"
10752,,,"Wang et al 2017, Nature"
10768,-6.21,-7.6,"Wang et al 2017, Nature"
10784,-6.34,-8.01,"Wang et al 2017, Nature"
10800,-6.37,-7.79,"Wang et al 2017, Nature"
10816,-6.01,-7.57,"Wang et al 2017, Nature"
10832,-6.01,-8,"Wang et al 2017, Nature"
10848,-6.24,-7.56,"Wang et al 2017, Nature"
10864,-6.24,-7.29,"Wang et al 2017, Nature"
10880,-6.19,-7.3,"Wang et al 2017, Nature"
10896,,,"Wang et al 2017, Nature"
10912,-6.16,-7.79,"Wang et al 2017, Nature"
10913,-6.29,-7.81,"Wang et al 2017, Nature"
10914,-5.98,-7.67,"Wang et al 2017, Nature"
10915,-5.76,-7.34,"Wang et al 2017, Nature"
10916,-6.2,-7.73,"Wang et al 2017, Nature"
10916,-6.1,-8.23,"Wang et al 2017, Nature"
10917,-6.08,-8.16,"Wang et al 2017, Nature"
10918,-6.32,-8.25,"Wang et al 2017, Nature"
10919,-6.03,-7.92,"Wang et al 2017, Nature"
10920,-5.88,-7.1,"Wang et al 2017, Nature"
10921,-5.79,-6.97,"Wang et al 2017, Nature"
10921,-5.87,-7.11,"Wang et al 2017, Nature"
10922,-5.42,-6.61,"Wang et al 2017, Nature"
10923,-5.52,-8.63,"Wang et al 2017, Nature"
10924,-5.94,-9.5,"Wang et al 2017, Nature"
10925,-5.82,-9.01,"Wang et al 2017, Nature"
10926,-6.01,-8.87,"Wang et al 2017, Nature"
10927,-6.24,-9.18,"Wang et al 2017, Nature"
9476,-6.8,-8.19,"Wang et al 2017, Nature"
9805,-6.28,-7.74,"Wang et al 2017, Nature"
,,,
14950,-3.8,-8.92,
15064,-3.94,-5.96,
15178,-3.84,-5.93,
15292,-3.74,-6.61,
15405,-4.31,-7.44,
15519,-3.87,-8.23,
15633,-3.94,-6.97,
15747,-4.01,-4.92,
15918,-4.02,-5.06,
16089,-3.9,-5.25,
16259,-3.89,-5.7,
16430,-4.09,-6.59,
16601,-4.17,-6.8,
,,,
20980,-2.93,-8.29,
21047,-2.43,-7.31,
21097,-2.41,-7.53,
21130,-2.74,-8.03,
21162,-2.54,-7.8,
21194,-2.72,-7.61,
21227,-2.74,-7.89,
21259,-2.42,-7.3,
21291,-2.71,-7.44,
21324,-2.7,-7.73,
21356,-2.85,-7.82,
21388,-2.69,-7.77,
21421,-2.72,-7.73,
21453,-2.97,-7.79,
21485,-2.89,-7.6,
21518,-2.65,-7.29,
21550,-2.69,-6.78,
21582,-2.92,-7.8,
21615,-2.79,-7.61,
21647,-2.72,-7.16,
21679,-2.78,-7.26,
21712,-2.91,-7.46,
21744,-3.07,-7.57,
21776,-2.94,-7.17,
21809,-3.19,-7.2,
21841,-2.68,-6.16,
21873,-2.65,-6.28,
21906,-2.8,-7.06,
21938,-2.66,-6.88,
21970,-2.5,-7.06,
22003,-2.78,-7.54,
22035,-2.81,-7.9,
22068,-2.85,-7.84,
22100,-2.86,-8.11,
22132,-2.84,-8.37,
22165,-2.69,-7.86,
22197,-2.77,-8.12,
22229,-2.81,-8.14,
22262,-2.83,-8.16,
22294,-2.66,-7.21,
22359,-2.88,-8.65,
22423,-3.06,-8.76,
22488,-3.3,-9.53,
22801,-3.1,-7.66,
23114,-3.07,-7.29,
23426,-3.39,-7.07,
23739,-3.08,-7.07,
24052,-3.07,-7.01,
24365,-3.06,-8.25,
24571,-3.53,-8.11,
24670,-3.84,-8.41,
24769,-4.01,-8.59,
24868,-3.79,-8.3,
24967,-3.81,-8.72,
25066,-3.79,-8.52,
25165,-3.46,-8.81,
25264,-3.43,-9.13,
25363,-3.62,-9.46,
25462,-3.88,-9.78,
25561,-3.64,-9.49,
25660,-3.48,-8.6,
25759,-3.41,-8.7,
25858,-3.54,-8.75,
25957,-3.35,-8.81,
26056,-3.34,-8.75,
26155,-3.23,-8.89,
26254,-3.28,-9,
26322,-2.89,-8.27,
26361,-3.09,-8.42,
26400,-3.31,-8.51,
26438,-3.26,-8.55,
26477,-3.11,-8.37,
26516,-3.35,-8.15,
26554,-3.34,-8.67,
26593,-3.19,-8.78,
26632,-3.51,-8.84,
26671,-3.38,-8.59,
26709,-3.25,-8.57,
26748,-3.47,-8.69,
26787,-3.61,-8.8,
26825,-3.65,-9.12,
26864,-3.25,-7.94,
26903,-3.24,-8.31,
26941,-3.1,-7.66,
26980,-3.06,-7.88,
26992,-3.16,-8.04,
27003,-3.25,-8.25,
27014,-3.48,-8.31,
27025,-3.5,-8.54,
27037,-3.47,-8.67,
27048,-3.57,-8.77,
27059,-3.55,-8.83,
27070,-3.44,-8.9,
27081,-3.63,-9.19,
27093,-3.68,-9.04,
27104,-3.53,-8.86,
27115,-3.59,-9.08,
27126,-3.54,-8.98,
27138,-3.59,-9.11,
27149,-3.53,-8.6,
27160,-3.48,-8.63,
27171,-3.4,-8.76,
27183,-3.47,-8.66,
27194,-3.31,-8.74,
27205,-3.37,-8.87,
27228,-3.5,-8.66,
27252,-3.63,-8.75,
27275,-3.56,-8.59,
27299,-3.6,-8.96,
27322,-3.5,-8.68,
27346,-3.58,-9.12,
27369,-3.58,-8.77,
27393,-3.61,-8.69,
27416,-3.47,-8.32,
27440,-3.45,-8.23,
27463,-3.53,-8.33,
27487,-3.46,-8.24,
27510,-3.46,-8.34,
27533,-3.48,-8,
27557,-4.12,-8.17,
27580,-3.85,-8.35,
27604,-3.68,-8.45,
27627,-3.34,-6.73,
27643,-3.74,-7.66,
27658,-3.67,-8.07,
27673,-3.75,-8.05,
27689,-3.73,-8.52,
27704,-3.75,-8,
27719,-3.73,-8.02,
27734,-3.8,-8.12,
27750,-3.69,-7.94,
27765,-3.82,-7.87,
27780,-3.82,-8.04,
27796,-3.52,-7.28,
27811,-3.86,-7.6,
27826,-3.89,-8.31,
27842,-3.61,-7.33,
27873,-3.98,-7.57,
27905,-3.91,-7.52,
27937,-4.08,-7.48,
27969,-4.07,-7.89,
28000,-4.18,-7.92,
28032,-4.24,-8.32,
28064,-4.38,-8.26,
28095,-4.45,-8.31,
28127,-4.53,-8.23,
28159,-4.12,-7.28,
28191,-4.01,-7.27,
28222,-4.12,-7.25,
28254,-4.18,-7.03,
28286,-4.2,-8.43,
