Depth (cm),Age (ka BP),Ti/Ca
610,42.833,0.225
610.5,42.863,0.214
611,42.893,0.180
611.5,42.923,0.181
612,42.953,0.179
612.5,42.983,0.178
613,43.013,0.189
613.5,43.043,0.194
614,43.073,0.187
614.5,43.103,0.159
615,43.134,0.126
615.5,43.164,0.136
616,43.194,0.123
616.5,43.224,0.130
617,43.254,0.139
617.5,43.284,0.154
618,43.314,0.129
618.5,43.344,0.117
619,43.374,0.117
619.5,43.404,0.123
620,43.434,0.106
620.5,43.464,0.098
621,43.494,0.109
621.5,43.524,0.108
622,43.554,0.099
622.5,43.584,0.113
623,43.614,0.102
623.5,43.644,0.099
624,43.674,0.098
624.5,43.704,0.101
625,43.734,0.093
625.5,43.765,0.091
626,43.795,0.089
626.5,43.825,0.096
627,43.855,0.092
627.5,43.885,0.095
628,43.915,0.090
628.5,43.945,0.091
629,43.975,0.089
629.5,44.005,0.100
630,44.035,0.092
630.5,44.050,0.097
631,44.064,0.095
631.5,44.079,0.094
632,44.094,0.094
632.5,44.109,0.094
633,44.123,0.095
633.5,44.138,0.096
634,44.153,0.098
634.5,44.167,0.098
635,44.182,0.094
635.5,44.197,0.119
636,44.212,0.117
636.5,44.226,0.117
637,44.241,0.120
637.5,44.256,0.119
638,44.270,0.122
638.5,44.285,0.125
639,44.300,0.128
639.5,44.314,0.117
640,44.329,0.118
640.5,44.344,0.128
641,44.359,0.134
641.5,44.373,0.133
642,44.388,0.129
642.5,44.403,0.134
643,44.417,0.132
643.5,44.432,0.134
644,44.447,0.143
644.5,44.462,0.137
645,44.476,0.140
645.5,44.491,0.144
646,44.506,0.144
646.5,44.520,0.145
647,44.535,0.143
647.5,44.550,0.208
648,44.564,0.195
648.5,44.579,0.155
649,44.594,0.105
649.5,44.609,0.158
650,44.623,0.204
650.5,44.638,0.190
651,44.653,0.229
651.5,44.667,0.233
652,44.682,0.238
652.5,44.697,0.212
653,44.712,0.206
653.5,44.726,0.192
654,44.741,0.210
654.5,44.756,0.216
655,44.770,0.230
655.5,44.785,0.198
656,44.800,0.226
656.5,44.815,0.226
657,44.829,0.225
657.5,44.844,0.251
658,44.859,0.252
658.5,44.873,0.246
659,44.888,0.212
659.5,44.903,0.266
660,44.918,0.266
660.5,44.932,0.260
661,44.947,0.280
661.5,44.962,0.333
662,44.976,0.361
662.5,44.991,0.273
663,45.006,0.259
663.5,45.020,0.245
664,45.035,0.234
664.5,45.050,0.237
665,45.065,0.222
665.5,45.079,0.213
666,45.094,0.213
666.5,45.109,0.208
667,45.123,0.202
667.5,45.138,0.198
668,45.153,0.203
668.5,45.168,0.211
669,45.182,0.209
669.5,45.197,0.214
670,45.212,0.210
670.5,45.226,0.229
671,45.241,0.219
671.5,45.256,0.287
672,45.270,0.210
672.5,45.285,0.153
673,45.300,0.114
673.5,45.315,0.127
674,45.329,0.122
674.5,45.344,0.123
675,45.359,0.121
675.5,45.373,0.122
676,45.388,0.120
676.5,45.403,0.119
677,45.418,0.113
677.5,45.432,0.112
678,45.447,0.114
678.5,45.462,0.112
679,45.476,0.104
679.5,45.491,0.106
680,45.506,0.106
680.5,45.521,0.102
681,45.535,0.099
681.5,45.550,0.106
682,45.565,0.094
682.5,45.579,0.099
683,45.594,0.105
683.5,45.609,0.107
684,45.624,0.107
684.5,45.638,0.108
685,45.653,0.103
685.5,45.668,0.097
686,45.682,0.104
686.5,45.697,0.094
687,45.712,0.094
687.5,45.726,0.099
688,45.741,0.099
688.5,45.756,0.092
689,45.771,0.091
689.5,45.785,0.089
690,45.800,0.082
690.5,45.815,0.094
691,45.829,0.097
691.5,45.844,0.082
692,45.859,0.086
692.5,45.874,0.089
693,45.888,0.098
693.5,45.903,0.094
694,45.918,0.099
694.5,45.932,0.104
695,45.947,0.102
695.5,45.962,0.099
696,45.976,0.093
696.5,45.991,0.084
697,46.006,0.090
697.5,46.021,0.095
698,46.035,0.087
698.5,46.050,0.085
699,46.065,0.086
699.5,46.079,0.095
700,46.094,0.093
700.5,46.109,0.085
701,46.124,0.090
701.5,46.138,0.098
702,46.153,0.101
702.5,46.168,0.101
703,46.182,0.095
703.5,46.197,0.101
704,46.212,0.102
704.5,46.227,0.102
705,46.241,0.109
705.5,46.256,0.112
706,46.271,0.105
706.5,46.285,0.109
707,46.300,0.105
707.5,46.315,0.117
708,46.330,0.108
708.5,46.344,0.122
709,46.359,0.122
709.5,46.374,0.118
710,46.388,0.117
710.5,46.403,0.116
711,46.418,0.118
711.5,46.432,0.126
712,46.447,0.132
712.5,46.462,0.122
713,46.477,0.130
713.5,46.491,0.124
714,46.506,0.120
714.5,46.521,0.120
715,46.535,0.115
715.5,46.550,0.124
716,46.565,0.127
716.5,46.580,0.131
717,46.594,0.127
717.5,46.609,0.133
718,46.624,0.137
718.5,46.638,0.153
719,46.653,0.144
719.5,46.668,0.123
720,46.682,0.132
720.5,46.697,0.133
721,46.712,0.120
721.5,46.727,0.138
722,46.741,0.148
722.5,46.756,0.155
723,46.771,0.160
723.5,46.785,0.157
724,46.800,0.147
724.5,46.815,0.143
725,46.830,0.178
725.5,46.844,0.204
726,46.859,0.199
726.5,46.877,0.206
727,46.894,0.257
727.5,46.912,0.302
728,46.930,0.274
728.5,46.947,0.280
729,46.965,0.293
729.5,46.983,0.293
730,47.000,0.303
730.5,47.018,0.262
731,47.036,0.245
731.5,47.053,0.254
732,47.071,0.242
732.5,47.089,0.253
733,47.106,0.214
733.5,47.124,0.258
734,47.142,0.230
734.5,47.160,0.226
735,47.177,0.226
735.5,47.195,0.223
736,47.213,0.233
736.5,47.230,0.253
737,47.248,0.256
737.5,47.266,0.282
738,47.283,0.272
738.5,47.301,0.264
739,47.319,0.281
739.5,47.336,0.295
740,47.354,0.298
740.5,47.372,0.313
741,47.389,0.308
741.5,47.407,0.290
742,47.425,0.290
742.5,47.442,0.276
743,47.460,0.276
743.5,47.478,0.300
744,47.495,0.351
744.5,47.513,0.352
745,47.531,0.360
745.5,47.548,0.348
746,47.566,0.340
746.5,47.584,0.328
747,47.602,0.322
747.5,47.619,0.319
748,47.637,0.303
748.5,47.655,0.295
749,47.672,0.338
749.5,47.690,0.337
750,47.708,0.318
750.5,47.725,0.344
751,47.743,0.351
751.5,47.761,0.376
752,47.778,0.381
752.5,47.796,0.398
753,47.814,0.413
753.5,47.831,0.412
754,47.849,0.422
754.5,47.867,0.420
755,47.884,0.460
755.5,47.902,0.527
756,47.920,0.504
756.5,47.937,0.559
757,47.955,0.564
757.5,47.973,0.588
758,47.990,0.576
758.5,48.008,0.600
759,48.026,0.632
759.5,48.043,0.636
760,48.061,0.656
760.5,48.079,0.665
761,48.096,0.707
761.5,48.114,0.651
762,48.132,0.621
762.5,48.150,0.552
763,48.167,0.538
763.5,48.185,0.535
764,48.203,0.464
764.5,48.220,0.526
765,48.238,0.510
765.5,48.256,0.520
766,48.273,0.539
766.5,48.291,0.482
767,48.309,0.517
767.5,48.326,0.505
768,48.344,0.515
768.5,48.362,0.494
769,48.379,0.493
769.5,48.397,0.446
770,48.415,0.474
770.5,48.432,0.483
771,48.450,0.476
771.5,48.468,0.506
772,48.485,0.517
772.5,48.503,0.584
773,48.521,0.607
773.5,48.538,0.580
774,48.556,0.603
774.5,48.574,0.581
775,48.592,0.608
775.5,48.609,0.583
776,48.627,0.516
776.5,48.645,0.443
777,48.662,0.432
777.5,48.680,0.440
778,48.698,0.479
778.5,48.715,0.416
779,48.733,0.406
779.5,48.751,0.417
780,48.768,0.436
780.5,48.786,0.376
781,48.804,0.353
781.5,48.821,0.320
782,48.839,0.285
782.5,48.864,0.269
783,48.889,0.216
783.5,48.914,0.215
784,48.939,0.216
784.5,48.964,0.218
785,48.989,0.204
785.5,49.014,0.188
786,49.039,0.158
786.5,49.064,0.162
787,49.089,0.163
787.5,49.114,0.160
788,49.138,0.171
788.5,49.163,0.150
789,49.188,0.152
789.5,49.213,0.161
790,49.238,0.145
790.5,49.263,0.152
791,49.288,0.139
791.5,49.313,0.180
792,49.338,0.378
792.5,49.363,0.230
793,49.388,0.148
793.5,49.413,0.140
794,49.438,0.136
794.5,49.463,0.130
795,49.488,0.136
795.5,49.513,0.133
796,49.538,0.131
796.5,49.563,0.134
797,49.588,0.140
797.5,49.613,0.151
798,49.638,0.137
798.5,49.663,0.147
799,49.688,0.141
799.5,49.713,0.142
800,49.737,0.139
800.5,49.762,0.143
801,49.787,0.144
801.5,49.812,0.153
802,49.837,0.149
802.5,49.862,0.123
803,49.887,0.122
803.5,49.912,0.137
804,49.937,0.138
804.5,49.962,0.150
805,49.987,0.156
805.5,50.012,0.154
806,50.037,0.159
806.5,50.062,0.168
807,50.087,0.168
807.5,50.112,0.172
808,50.137,0.171
808.5,50.162,0.171
809,50.187,0.164
809.5,50.212,0.145
810,50.237,0.131
810.5,50.262,0.143
811,50.287,0.148
811.5,50.312,0.139
812,50.336,0.125
812.5,50.361,0.157
813,50.386,0.171
813.5,50.411,0.177
814,50.436,0.173
814.5,50.461,0.189
815,50.486,0.172
815.5,50.511,0.165
816,50.536,0.162
816.5,50.561,0.168
817,50.586,0.140
817.5,50.611,0.145
818,50.636,0.153
818.5,50.661,0.145
819,50.686,0.151
819.5,50.711,0.141
820,50.736,0.149
820.5,50.761,0.146
821,50.786,0.145
821.5,50.811,0.144
822,50.836,0.130
822.5,50.861,0.129
823,50.886,0.131
823.5,50.911,0.128
824,50.935,0.130
824.5,50.960,0.118
825.5,51.010,0.117
826,51.035,0.110
826.5,51.060,0.121
827,51.085,0.116
827.5,51.110,0.106
828,51.135,0.112
828.5,51.160,0.108
829,51.185,0.109
829.5,51.210,0.111
830,51.235,0.111
830.5,51.260,0.110
831,51.285,0.103
831.5,51.310,0.102
832,51.335,0.103
832.5,51.360,0.104
833,51.385,0.104
833.5,51.410,0.106
834,51.435,0.101
834.5,51.460,0.092
835,51.485,0.089
835.5,51.510,0.097
836,51.534,0.103
836.5,51.559,0.098
837,51.584,0.097
837.5,51.609,0.102
838,51.634,0.104
838.5,51.659,0.101
839,51.684,0.104
839.5,51.709,0.097
840,51.734,0.101
840.5,51.759,0.101
841,51.784,0.101
841.5,51.809,0.094
842,51.834,0.104
842.5,51.859,0.105
843,51.884,0.106
843.5,51.909,0.105
844,51.934,0.113
844.5,51.959,0.120
845,51.984,0.136
845.5,52.009,0.135
846,52.034,0.124
846.5,52.059,0.117
847,52.084,0.116
847.5,52.108,0.116
848,52.133,0.122
848.5,52.158,0.128
849,52.183,0.120
849.5,52.208,0.108
850,52.233,0.107
850.5,52.258,0.105
851,52.283,0.110
851.5,52.308,0.108
852,52.333,0.102
852.5,52.358,0.112
853,52.383,0.110
853.5,52.408,0.107
854,52.433,0.114
854.5,52.458,0.107
855,52.483,0.107
855.5,52.508,0.107
856,52.533,0.102
856.5,52.558,0.106
857,52.583,0.103
857.5,52.608,0.101
858,52.633,0.101
858.5,52.658,0.099
859,52.683,0.091
859.5,52.707,0.094
860,52.732,0.092
860.5,52.757,0.096
861,52.782,0.108
861.5,52.807,0.103
862,52.832,0.101
862.5,52.857,0.095
863,52.882,0.091
863.5,52.907,0.098
864,52.932,0.082
864.5,52.957,0.085
865,52.982,0.099
865.5,53.007,0.094
866,53.032,0.095
866.5,53.057,0.090
867,53.082,0.098
867.5,53.107,0.092
868,53.132,0.094
868.5,53.157,0.099
869,53.182,0.099
869.5,53.207,0.102
870,53.232,0.109
870.5,53.257,0.104
871,53.282,0.101
871.5,53.306,0.106
872,53.331,0.100
872.5,53.356,0.102
873,53.381,0.100
873.5,53.406,0.084
874,53.431,0.087
874.5,53.456,0.092
875,53.481,0.090
875.5,53.506,0.094
876,53.531,0.089
876.5,53.556,0.084
877,53.581,0.085
877.5,53.606,0.092
878,53.631,0.104
878.5,53.656,0.107
879,53.681,0.107
879.5,53.706,0.103
880,53.731,0.099
880.5,53.756,0.097
881,53.781,0.093
881.5,53.806,0.094
882,53.831,0.093
882.5,53.856,0.091
883,53.881,0.097
883.5,53.905,0.087
884,53.930,0.089
884.5,53.955,0.089
885,53.980,0.088
885.5,54.005,0.090
886,54.030,0.089
886.5,54.055,0.088
887,54.080,0.084
887.5,54.105,0.088
888,54.130,0.086
888.5,54.155,0.091
889,54.180,0.085
889.5,54.205,0.086
890,54.230,0.085
890.5,54.255,0.084
891,54.280,0.085
891.5,54.305,0.084
892,54.330,0.085
892.5,54.355,0.078
893,54.380,0.083
893.5,54.405,0.085
894,54.430,0.087
894.5,54.455,0.088
895,54.480,0.085
895.5,54.504,0.081
896,54.529,0.092
896.5,54.554,0.096
897,54.579,0.100
897.5,54.604,0.109
898,54.629,0.113
898.5,54.654,0.116
899,54.679,0.138
899.5,54.704,0.131
900,54.729,0.135
900.5,54.754,0.155
901,54.779,0.198
901.5,54.794,0.181
902,54.810,0.191
902.5,54.825,0.219
903,54.841,0.231
903.5,54.856,0.240
904,54.872,0.240
904.5,54.887,0.234
905,54.903,0.233
905.5,54.918,0.254
906,54.934,0.233
906.5,54.949,0.238
907,54.965,0.277
907.5,54.980,0.314
908,54.996,0.347
908.5,55.011,0.381
909,55.027,0.355
909.5,55.042,0.348
910,55.058,0.286
910.5,55.073,0.362
911,55.089,0.345
911.5,55.104,0.350
912,55.120,0.343
912.5,55.135,0.349
913,55.151,0.376
913.5,55.166,0.435
914,55.182,0.454
914.5,55.197,0.401
915,55.213,0.365
915.5,55.228,0.352
916,55.244,0.368
916.5,55.259,0.341
917,55.274,0.336
917.5,55.290,0.246
918,55.305,0.257
918.5,55.321,0.230
919,55.336,0.253
919.5,55.352,0.229
920,55.367,0.212
920.5,55.383,0.202
921,55.398,0.183
921.5,55.414,0.176
922,55.429,0.168
922.5,55.445,0.176
923,55.460,0.180
923.5,55.476,0.202
924,55.491,0.206
924.5,55.507,0.195
925,55.522,0.200
925.5,55.538,0.191
926,55.553,0.222
926.5,55.569,0.227
927,55.584,0.188
927.5,55.600,0.193
928,55.615,0.184
928.5,55.631,0.180
929,55.646,0.165
929.5,55.662,0.164
930,55.677,0.169
930.5,55.693,0.163
931,55.708,0.165
931.5,55.724,0.157
932,55.739,0.164
932.5,55.763,0.172
933,55.786,0.169
933.5,55.810,0.180
934,55.833,0.173
934.5,55.857,0.210
935,55.880,0.235
935.5,55.904,0.221
936,55.927,0.222
936.5,55.951,0.214
937,55.975,0.257
937.5,55.998,0.232
938,56.022,0.195
938.5,56.045,0.187
939,56.069,0.201
939.5,56.092,0.191
940,56.116,0.192
940.5,56.139,0.193
941,56.163,0.188
941.5,56.186,0.191
942,56.210,0.249
942.5,56.234,0.265
943,56.257,0.221
943.5,56.281,0.208
944,56.304,0.216
944.5,56.328,0.209
945,56.351,0.198
945.5,56.375,0.241
946,56.398,0.263
946.5,56.422,0.248
947,56.446,0.269
947.5,56.469,0.245
948,56.493,0.234
948.5,56.516,0.206
949,56.540,0.209
949.5,56.563,0.176
950,56.587,0.186
950.5,56.610,0.174
951,56.634,0.164
951.5,56.658,0.166
952,56.681,0.192
952.5,56.705,0.210
953,56.728,0.190
953.5,56.752,0.159
954,56.775,0.168
954.5,56.799,0.166
955,56.822,0.167
955.5,56.846,0.160
956,56.870,0.157
956.5,56.893,0.164
957,56.917,0.142
957.5,56.940,0.136
958,56.964,0.134
958.5,56.987,0.136
959,57.011,0.133
959.5,57.034,0.126
960,57.058,0.134
960.5,57.082,0.128
961,57.105,0.131
961.5,57.129,0.148
962,57.152,0.140
962.5,57.176,0.132
963,57.199,0.115
963.5,57.223,0.111
964,57.246,0.119
964.5,57.270,0.129
965,57.293,0.122
965.5,57.317,0.105
966,57.341,0.110
966.5,57.364,0.113
967,57.388,0.109
967.5,57.411,0.102
968,57.435,0.111
968.5,57.458,0.101
969,57.482,0.106
969.5,57.505,0.107
970,57.529,0.105
970.5,57.553,0.112
971,57.576,0.108
971.5,57.600,0.106
972,57.623,0.109
972.5,57.647,0.104
973,57.670,0.112
973.5,57.694,0.108
974,57.717,0.104
974.5,57.741,0.116
975,57.765,0.115
975.5,57.788,0.108
976,57.812,0.112
976.5,57.835,0.109
977,57.859,0.110
977.5,57.882,0.116
978,57.906,0.119
978.5,57.929,0.121
979,57.953,0.122
979.5,57.976,0.127
980,58.000,0.124
980.5,58.024,0.122
981,58.047,0.116
981.5,58.071,0.118
982,58.094,0.117
982.5,58.118,0.122
983,58.141,0.110
983.5,58.165,0.117
984,58.188,0.124
984.5,58.212,0.136
985,58.236,0.142
985.5,58.259,0.147
986,58.283,0.152
986.5,58.306,0.147
987,58.330,0.154
987.5,58.353,0.173
988,58.377,0.168
988.5,58.400,0.151
989,58.424,0.145
989.5,58.448,0.138
990,58.471,0.126
990.5,58.495,0.133
991,58.518,0.128
991.5,58.542,0.117
992,58.565,0.123
992.5,58.589,0.118
993,58.612,0.122
993.5,58.636,0.111
994,58.660,0.116
994.5,58.683,0.127
995,58.707,0.121
995.5,58.730,0.125
996,58.754,0.116
996.5,58.777,0.123
997,58.801,0.119
997.5,58.824,0.137
998,58.848,0.140
998.5,58.872,0.134
999,58.895,0.152
999.5,58.919,0.165
1000,58.942,0.170
1000.5,58.966,0.170
1001,58.989,0.157
1001.5,59.013,0.183
1002,59.036,0.299
1002.5,59.060,0.197
1003,59.083,0.215
1003.5,59.107,0.202
1004,59.131,0.205
1004.5,59.154,0.200
1005,59.178,0.198
1005.5,59.201,0.185
1006,59.225,0.197
1006.5,59.248,0.189
1007,59.272,0.198
1007.5,59.295,0.275
1008,59.319,0.195
1008.5,59.380,0.239
1009,59.440,0.247
1009.5,59.501,0.282
1010,59.561,0.275
1010.5,59.622,0.252
1011,59.682,0.224
1011.5,59.743,0.236
1012,59.803,0.238
1012.5,59.864,0.224
1013,59.924,0.227
1013.5,59.985,0.232
1014,60.045,0.242
1014.5,60.106,0.233
1015,60.166,0.237
1015.5,60.227,0.264
1016,60.287,0.275
1016.5,60.348,0.303
1017,60.408,0.346
1017.5,60.469,0.332
1018,60.529,0.331
1018.5,60.590,0.315
1019,60.650,0.299
1019.5,60.711,0.277
1020,60.771,0.258
1020.5,60.832,0.273
1021,60.892,0.263
1021.5,60.953,0.261
1022,61.013,0.281
1022.5,61.074,0.310
1023,61.134,0.298
1023.5,61.195,0.300
1024,61.255,0.313
1024.5,61.316,0.298
1025,61.377,0.277
1025.5,61.437,0.246
1026,61.498,0.202
1026.5,61.558,0.247
1027,61.619,0.286
1027.5,61.679,0.280
1028,61.740,0.324
1028.5,61.800,0.298
1029,61.861,0.309
1029.5,61.921,0.307
1030,61.982,0.330
1030.5,62.042,0.306
1031,62.103,0.324
1031.5,62.163,0.376
1032,62.224,0.376
1032.5,62.284,0.399
1033,62.345,0.385
1033.5,62.405,0.339
1034,62.466,0.297
1034.5,62.526,0.320
1035,62.587,0.304
1035.5,62.647,0.312
1036,62.708,0.315
1036.5,62.768,0.323
1037,62.829,0.315
1037.5,62.889,0.306
1038,62.950,0.319
1038.5,63.010,0.301
1039,63.071,0.317
1039.5,63.131,0.322
1040,63.192,0.319
1040.5,63.253,0.316
1041,63.313,0.339
1041.5,63.374,0.359
1042,63.434,0.381
1042.5,63.495,0.343
1043,63.555,0.334
1043.5,63.616,0.321
1044,63.676,0.311
1044.5,63.737,0.318
1045,63.797,0.371
1045.5,63.858,0.343
1046,63.918,0.324
1046.5,63.979,0.363
1047,64.039,0.386
1047.5,64.100,0.340
1048,64.160,0.311
1048.5,64.221,0.284
1049,64.281,0.275
1049.5,64.342,0.286
1050,64.402,0.294
1050.5,64.463,0.312
1051,64.523,0.308
1051.5,64.584,0.317
1052,64.644,0.314
1052.5,64.705,0.360
1053,64.765,0.326
1053.5,64.826,0.282
1054,64.886,0.273
1054.5,64.947,0.305
1055,65.007,0.311
1055.5,65.068,0.315
1056,65.128,0.341
1056.5,65.189,0.325
1057,65.250,0.316
1057.5,65.310,0.335
1058,65.371,0.334
1058.5,65.431,0.326
1059,65.492,0.337
1059.5,65.552,0.358
1060,65.613,0.345
1060.5,65.673,0.323
1061,65.734,0.349
1061.5,65.794,0.409
1062,65.855,0.459
1062.5,65.915,0.406
1063,65.976,0.431
1063.5,66.036,0.401
1064,66.097,0.401
1064.5,66.157,0.388
1065,66.218,0.344
1065.5,66.278,0.364
1066,66.339,0.363
1066.5,66.399,0.346
1067,66.460,0.346
1067.5,66.520,0.354
1068,66.581,0.357
1068.5,66.641,0.321
1069,66.702,0.300
1069.5,66.762,0.333
1070,66.823,0.347
1070.5,66.883,0.337
1071,66.944,0.343
1071.5,67.004,0.357
1072,67.065,0.383
1072.5,67.125,0.376
1073,67.186,0.438
1073.5,67.247,0.441
1074,67.307,0.435
1074.5,67.368,0.428
1075,67.428,0.453
1075.5,67.489,0.488
1076,67.549,0.459
1076.5,67.610,0.482
1077,67.670,0.512
1077.5,67.731,0.515
1078,67.791,0.463
1078.5,67.852,0.412
1079,67.912,0.429
1079.5,67.973,0.456
1080,68.033,0.437
1080.5,68.094,0.447
1081,68.154,0.458
1081.5,68.215,0.451
1082,68.275,0.454
1082.5,68.336,0.488
1083,68.396,0.498
1083.5,68.457,0.528
1084,68.517,0.458
1084.5,68.578,0.432
1085,68.638,0.483
1085.5,68.699,0.611
1086,68.759,0.679
1086.5,68.820,0.520
1087,68.880,0.490
1087.5,68.941,0.450
1088,69.001,0.429
1088.5,69.062,0.348
1089,69.123,0.468
1089.5,69.183,0.434
1090,69.244,0.433
1090.5,69.304,0.429
1091,69.365,0.371
1091.5,69.425,0.401
1092,69.486,0.408
1092.5,69.546,0.414
1093,69.607,0.420
1093.5,69.667,0.346
1094,69.728,0.332
1094.5,69.788,0.337
1095,69.849,0.377
1095.5,69.909,0.368
1096,69.970,0.324
1096.5,70.030,0.406
1097,70.091,0.421
1097.5,70.151,0.425
1098,70.212,0.439
1098.5,70.272,0.436
1099,70.333,0.464
1099.5,70.393,0.423
1100,70.454,0.442
1100.5,70.514,0.448
1101,70.575,0.485
1101.5,70.635,0.414
1102,70.696,0.484
1102.5,70.756,0.504
1103,70.817,0.432
1103.5,70.877,0.405
1104,70.938,0.391
1104.5,70.998,0.376
1105,71.059,0.341
1105.5,71.078,0.344
1106,71.098,0.343
1106.5,71.117,0.368
1107,71.137,0.345
1107.5,71.156,0.198
1108,71.175,0.234
1108.5,71.195,0.209
1109,71.214,0.202
1109.5,71.234,0.201
1110,71.253,0.200
1110.5,71.272,0.182
1111,71.292,0.198
1111.5,71.311,0.201
1112,71.331,0.195
1112.5,71.350,0.181
1113,71.369,0.153
1113.5,71.389,0.177
1114,71.408,0.212
1114.5,71.427,0.210
1115,71.447,0.124
1115.5,71.466,0.197
1116,71.486,0.226
1116.5,71.505,0.193
1117,71.524,0.200
1117.5,71.544,0.194
1118,71.563,0.215
1118.5,71.583,0.198
1119,71.602,0.172
1119.5,71.621,0.182
1120,71.641,0.178
1120.5,71.660,0.146
1121,71.680,0.140
1121.5,71.699,0.179
1122,71.718,0.218
1122.5,71.738,0.201
1123,71.757,0.209
1123.5,71.777,0.254
1124,71.796,0.291
1124.5,71.815,0.303
1125,71.835,0.333
1125.5,71.854,0.317
1126,71.874,0.297
1126.5,71.893,0.277
1127,71.912,0.286
1127.5,71.932,0.292
1128,71.951,0.324
1128.5,71.971,0.312
1129,71.990,0.302
1129.5,72.009,0.274
1130,72.029,0.212
1130.5,72.048,0.215
1131,72.067,0.217
1131.5,72.087,0.191
1132,72.106,0.159
1132.5,72.126,0.236
1133,72.145,0.236
1133.5,72.164,0.239
1134,72.184,0.240
1134.5,72.203,0.248
1135,72.223,0.279
1135.5,72.242,0.277
1136,72.261,0.255
1136.5,72.281,0.269
1137,72.300,0.272
1137.5,72.320,0.239
1138,72.339,0.250
1138.5,72.434,0.350
1139,72.530,0.454
1139.5,72.625,0.417
1140,72.721,0.403
1140.5,72.816,0.483
1141,72.912,0.447
1141.5,73.007,0.373
1142,73.103,0.388
1142.5,73.198,0.728
1143,73.294,0.808
1143.5,73.389,0.562
1144,73.484,0.479
1144.5,73.580,0.425
1145,73.675,0.408
1145.5,73.771,0.412
1146,73.866,0.413
1146.5,73.962,0.425
1147,74.057,0.347
1147.5,74.153,0.354
1148,74.248,0.380
1148.5,74.344,0.323
1149,74.439,0.303
1149.5,74.452,0.266
1150,74.464,0.283
1150.5,74.477,0.217
1151,74.490,0.193
1151.5,74.502,0.184
1152,74.515,0.184
1152.5,74.527,0.180
